id,newspaper,city,state,e2016,e2012,circulation,date,link,lat,lng,geocoded.city,combo,blurb
165,Foster's Daily Democrat,Dover,New Hampshire,16235,10/16/2016,Hillary Clinton,Mitt Romney,Foster's Daily Democrat/Dover,43.1978624,-70.8736698,,Foster's Daily Democrat/Dover,"We like what she’s fighting for – broad prosperity achieved by public investment in education and clean energy, prudently funded by a fair tax code, and a future in which our country’s diversity brings strength through inclusion."
166,The Courier-Journal,Louisville,Kentucky,202164,10/16/2016,Hillary Clinton,Barack Obama,The Courier-Journal/Louisville,38.2526647,-85.7584557,,The Courier-Journal/Louisville,"Trump has campaigned on fear, not hope. We can’t back his candidacy."
167,Wisconsin State Journal,Madison,Wisconsin,93022,10/16/2016,Hillary Clinton,Mitt Romney,Wisconsin State Journal/Madison,43.0730517,-89.4012302,,Wisconsin State Journal/Madison,"The world needs a U.S. president who can actually lead. Clinton is that leader, and the world needs America to get this right."
168,The News Leader,Staunton,Virginia,15605,10/16/2016,Hillary Clinton,Barack Obama,http://www.newsleader.com/story/opinion/editorials/2016/10/16/clinton-without-hesitation/92165680/,38.150079,-79.073339,,The News Leader/Staunton,
169,The Columbian,Vancouver,Washington,58756,10/16/2016,Hillary Clinton,Mitt Romney,The Columbian/Vancouver,45.6387281,-122.6614861,,The Columbian/Vancouver,"Despite a dark and divisive presidential campaign, a glimmer of light is shining through: There is one candidate who has the experience, demeanor, and uplifting vision necessary to shepherd this nation toward a successful future."
170,The Pantagraph,Bloomington-Normal,Illinois,34515,10/16/2016,Hillary Clinton,Mitt Romney,The Pantagraph/Bloomington-Normal,40.479773,-88.995982,,The Pantagraph/Bloomington-Normal,But this election is not a case of choosing the lesser of two evils. There is a system of checks and balances that every president must work within. Clinton can do that and has done it. Trump has proven at every turn that he would not.
171,Herald & Review,Decatur,Illinois,38427,10/16/2016,Hillary Clinton,Mitt Romney,Herald & Review/Decatur,39.8403147,-88.9548001,,Herald & Review/Decatur,"Simply put, Trump lacks the temperament, maturity and depth of knowledge required to be commander in chief."
172,The Keene Sentinel,Keene,New Hampshire,13349,10/16/2016,Hillary Clinton,Barack Obama,The Keene Sentinel/Keene,42.933692,-72.2781409,,The Keene Sentinel/Keene,"The former first lady, U.S. senator and secretary of state is among the most highly qualified candidates in memory in terms of experience, intelligence and demonstrable commitment to public service. Clinton has been on the national and world stage for decades, working tirelessly, making tough calls, taking the heat that comes with partisan politics, and working successfully across the aisle to better the lives of children and others."
173,Staten Island Advance,Staten Island,New York,29893,10/16/2016,Hillary Clinton,Barack Obama,Staten Island Advance/Staten Island,40.5795317,-74.1502007,,Staten Island Advance/Staten Island,"Vote for Mrs. Clinton because in this election, she alone displays the dignity, the grace, the passion and compassion, the mental acumen, the temperament – and yes, the incredible experience on the national and international level – that will allow America the best opportunity to move forward in how we treat our neighbors here and abroad, and how we will protect ourselves from those neighbors out to not just do us harm, but to destroy our way of life."
174,The Oklahoman,Oklahoma City,Oklahoma,112225,10/16/2016,No endorsement,Mitt Romney,The Oklahoman/Oklahoma City,35.4829357,-97.5463885,,The Oklahoman/Oklahoma City,"One nominee, Republican Donald Trump, is the wildest of wild cards. The other, Democrat Hillary Clinton, is a serially dishonest political lifer. In different ways, both would promote policies that harm this nation. Whether Trump or Clinton wins, conservative control of Congress is needed as a bulwark against their misguided policies."
175,The Post-Star,Glens Falls,New York,28001,10/16/2016,Hillary Clinton,Barack Obama,The Post-Star/Glens Falls,43.3095164,-73.6440058,,The Post-Star/Glens Falls,We found Trump’s promise to jail Clinton if he is elected during the last debate to be one of the most chilling pronouncements in the history of American politics.
176,The Register-Guard,Eugene,Oregon,77256,10/16/2016,Hillary Clinton,Barack Obama,The Register-Guard/Eugene,44.086112,-123.052019,,The Register-Guard/Eugene,"In no respect are Clinton and Trump equally qualified. Where Clinton has a life of public service, Trump has a career dedicated to private gain. Where Clinton is comprehensively well-informed, Trump is boastfully ignorant. For every exaggeration and evasion from Clinton come a dozen outright fabrications from Trump. The candidates are as different as respect and scorn, as humility and pride, as hope and fear."
177,Kenosha News,Kenosha,Wisconsin,29647,10/16/2016,Hillary Clinton,,Kenosha News/Kenosha,42.5847425,-87.8211854,,Kenosha News/Kenosha,"Through the campaign, Trump showed that he was tough but his ignorance and arrogance flowed too freely. For the foreseeable future, we need our president to stay on script and on task. We need a president who measures what she says before it is said. Those are not skills that Trump embraces or even understands."
178,Billings Gazette,Billings,Montana,36884,10/16/2016,Hillary Clinton,Mitt Romney,Billings Gazette/Billings,45.7832856,-108.5006904,,Billings Gazette/Billings,"Clinton's positions on small business and public lands reflect values shared by Montanans. She has proposed steps that would reduce the tax and paperwork burden now borne by small businesses. For example, she has proposed giving small businesses the option of taking a standard deduction. She proposed doubling the immediate write-off for investments. She proposes to streamline regulations on community banks and credit unions — vital lenders for small businesses."
179,Chattanooga Times Free Press,Chattanooga,Tennessee,63072,10/16/2016,No endorsement,Gary Johnson,Chattanooga Times Free Press/Chattanooga,35.0456297,-85.3096801,,Chattanooga Times Free Press/Chattanooga,"[T]he Democratic nominee, former Secretary of State Hillary Clinton, represents an anathema to everything this page has stood for — smaller government, lower taxes, the rule of law, a market-driven economy, strong family values."
180,St. Joseph News-Press,St. Joseph,Missouri,26015,10/16/2016,Donald Trump,Mitt Romney,St. Joseph News-Press/St. Joseph,39.754357,-94.760449,,St. Joseph News-Press/St. Joseph,"Donald Trump represents something different for a broad swath of America that is serious about wanting a less intrusive government, a more robust economic recovery and leadership that protects our interests around the world."
181,Northwest Herald,Crystal Lake,Illinois,38000,10/16/2016,No endorsement,Mitt Romney,Northwest Herald/Crystal Lake,42.2411344,-88.3161965,,Northwest Herald/Crystal Lake,"In these unprecedented times, we find ourselves in the unprecedented situation of not being able to reach a consensus on a qualified and viable candidate. We simply cannot recommend any of the candidates in the 2016 presidential race. "
182,The Pueblo Chieftain,Pueblo,Colorado,37794,10/16/2016,No endorsement,Mitt Romney,The Pueblo Chieftain/Pueblo,38.2544472,-104.6091409,,The Pueblo Chieftain/Pueblo,"Donald Trump, because of his business acumen, and Hillary Clinton, because of her vast experience, both would bring strong skills to the Oval Office. However, and there’s no nice way to say this, we don’t trust either one of them."
183,Star Beacon,Ashtabula,Ohio,18974,10/16/2016,Hillary Clinton,,http://www.starbeacon.com/opinion/editorials/hillary-clinton-is-best-fit-to-be-president/article_a955adbd-757f-50b2-beb2-c8195c64e3f4.html,41.865294,-80.783396,,Star Beacon/Ashtabula,
184,The Press of Atlantic City,Atlantic City,New Jersey,63824,10/16/2016,No endorsement,,The Press of Atlantic City/Atlantic City,39.3642834,-74.4229266,,The Press of Atlantic City/Atlantic City,"Telling readers how to vote, however, is contrary to the mission of newspapers and other media, which is to extend the public’s experience and perspectives. Newsgathering organizations give the public eyes, ears and memory beyond the capability of an individual. People want them to be reliable and credible. When the media start making judgments, their audiences wonder if they’re altering their content to support that judgment too."
185,The Herald,Sharon,Pennsylvania,13283,10/16/2016,Hillary Clinton,No endorsement,http://www.sharonherald.com/opinion/editorials/clinton-is-prepared-qualified-to-be-our-next-president/article_57a34bd2-31bf-5c17-902a-38cdbf0b4a69.html,41.232553,-80.505983,,The Herald/Sharon,
186,Canon City Daily Record,Canon City,Colorado,4765,10/16/2016,Hillary Clinton,Mitt Romney,http://www.canoncitydailyrecord.com/opinion/editorial/ci_30489956/editorial-hillary-clinton-has-resume-job-president,38.44395,-105.230649,,Canon City Daily Record/Canon City,
187,Merced Sun-Star,Merced,California,12059,10/17/2016,Hillary Clinton,,http://www.mercedsunstar.com/opinion/editorials/article108813657.html,37.3021632,-120.4829677,,Merced Sun-Star/Merced,
188,Waxahachie Daily Light,Waxahachie,Texas,4787,10/17/2016,Donald Trump,,http://www.waxahachietx.com/news/20161017/wdl-trump-for-potus,32.3865312,-96.8483311,,Waxahachie Daily Light/Waxahachie,
189,LNP,Lancaster,Pennsylvania,72147,10/18/2016,Hillary Clinton,Split endorsements,http://lancasteronline.com/opinion/editorials/choosing-a-president-in-a-contentious-election-year/article_1975ab5e-94ae-11e6-8abb-2b437a0a4a55.html,40.0378755,-76.3055144,,LNP/Lancaster,
190,La Opinión,Los Angeles,California,49953,10/18/2016,Hillary Clinton,Barack Obama,http://laopinion.com/2016/10/17/la-opinion-endorses-hillary-clinton/,34.0522342,-118.2436849,,La Opinión/Los Angeles,
191,Chico Enterprise-Record,Chico,California,29843,10/19/2016,No endorsement,Mitt Romney,http://www.chicoer.com/opinion/20161018/editorial-for-president-we-cannot-endorse-anybody,39.7284944,-121.8374777,,Chico Enterprise-Record/Chico,
192,Oroville Mercury-Register,Oroville,California,5852,10/19/2016,No endorsement,Mitt Romney,http://www.orovillemr.com/opinion/20161018/editorial-for-president-we-cannot-endorse-anybody,39.5137752,-121.556359,,Oroville Mercury-Register/Oroville,
193,El Diario La Prensa,New York,New York,29339,10/19/2016,Hillary Clinton,,http://eldiariony.com/2016/10/17/el-diario-endorses-hillary-clinton-for-president-of-the-united-states/,40.7127837,-74.0059413,,El Diario La Prensa/New York,
194,Boston Herald,Boston,Massachusetts,96403,10/20/2016,No endorsement,Mitt Romney,http://www.bostonherald.com/opinion/editorials/2016/10/none_of_the_above_for_president,42.3467759,-71.0652931,,Boston Herald/Boston,
195,Fort Worth Star-Telegram,Fort Worth,Texas,268244,10/21/2016,Not Donald Trump,Mitt Romney,http://www.star-telegram.com/opinion/editorials/article109599257.html,32.7554883,-97.3307658,,Fort Worth Star-Telegram/Fort Worth,
196,The Philadelphia Inquirer,Philadelphia,Pennsylvania,497142,10/21/2016,Hillary Clinton,Barack Obama,http://www.philly.com/philly/opinion/Inquirer-Editorial-Clinton-easily-the-best-candidate-for-president.html,39.9525839,-75.1652215,,The Philadelphia Inquirer/Philadelphia,
197,Newsday,Melville,New York,510683,10/21/2016,Hillary Clinton,Mitt Romney,http://www.newsday.com/opinion/editorial/hillary-clinton-should-be-our-next-president-1.12483084,40.762572,-73.403686,,Newsday/Melville,
198,Poughkeepsie Journal,Poughkeepsie,New York,26984,10/21/2016,Hillary Clinton,Barack Obama,http://www.poughkeepsiejournal.com/story/opinion/editorials/2016/10/21/countrys-sake-clinton-default/92483662/,41.7003713,-73.9209701,,Poughkeepsie Journal/Poughkeepsie,
199,San Jose Mercury News,San Jose,California,634001,10/21/2016,Hillary Clinton,Barack Obama,http://www.mercurynews.com/2016/10/21/editorial-hillary-clinton-for-president/,37.3382082,-121.8863286,,San Jose Mercury News/San Jose,
200,East Oregonian,Pendleton,Oregon,7000,10/21/2016,Hillary Clinton,Barack Obama,http://www.eastoregonian.com/eo/editorials/20161021/our-view-clinton-the-only-choice-for-president,45.672075,-118.7885967,,East Oregonian/Pendleton,
201,Dixon Telegraph and Sterling Daily Gazette,Sterling,Illinois,21399,10/21/2016,No endorsement,,http://www.saukvalley.com/2016/10/21/what-we-think-no-endorsement-for-unpresidential-hopefuls/at8jzjw/,41.788642,-89.6962194,,Dixon Telegraph and Sterling Daily Gazette/Sterling,
202,The Herald-Dispatch,Huntington,West Virginia,35552,10/21/2016,No endorsement,Mitt Romney,http://www.herald-dispatch.com/opinion/editorial-america-deserves-better-in-presidential-race/article_521fa9c5-7cf3-5e3e-b6f4-969d3973c53a.html,38.4192496,-82.445154,,The Herald-Dispatch/Huntington,
203,The Sentinel,Carlisle,Pennsylvania,13828,10/21/2016,No endorsement,,The Sentinel/Carlisle,40.1731834,-77.1516489,,The Sentinel/Carlisle,"That is not to say that neither has an appeal, they do. But their negatives are so great they simply outweigh the positives."
204,The Times-Gazette,Hillsboro,Ohio,4300,10/21/2016,Donald Trump,,http://timesgazette.com/opinion/11004/our-view-endorsements,39.2022866,-83.611587,,The Times-Gazette/Hillsboro,
205,East Bay Times,Walnut Creek,California,525000,10/21/2016,Hillary Clinton,Barack Obama,http://www.eastbaytimes.com/2016/10/21/editorial-hillary-clinton-for-president/,37.924175,-122.028358,,East Bay Times/Walnut Creek,
206,Iowa City Press-Citizen,Iowa City,Iowa,9939,10/22/2016,Hillary Clinton,Mitt Romney,http://www.press-citizen.com/story/opinion/editorials/our-view/2016/10/22/endorsement-clinton-best-and-only-choice/92530498/,41.6611277,-91.5301683,,Iowa City Press-Citizen/Iowa City,
207,Daily Herald,Arlington Heights,Illinois,102293,10/22/2016,Hillary Clinton,Mitt Romney,http://www.dailyherald.com/article/20161022/discuss/161029666/,42.0883603,-87.9806265,,Daily Herald/Arlington Heights,
208,The News Tribune,Tacoma,Washington,116026,10/22/2016,Hillary Clinton,Barack Obama,The News Tribune/Tacoma,47.2528768,-122.4442906,,The News Tribune/Tacoma,"But in the final reckoning, Clinton’s problems are a mere sideshow compared to Trump’s three-ring circus."
209,Star Tribune,Minneapolis,Minnesota,589725,10/22/2016,Hillary Clinton,Barack Obama,Star Tribune/Minneapolis,44.977753,-93.2650108,,Star Tribune/Minneapolis,"A vote for Hillary Clinton is a historic choice for a woman who is fiercely committed to using government as a force for good, who is capable of working to strike a pragmatic balance among competing interests and who brings a lifetime of experience to one of the toughest jobs the world has to offer."
210,Rockford Register Star,Rockford,Illinois,61879,10/22/2016,Hillary Clinton,Barack Obama,http://www.rrstar.com/opinion/20161022/our-view-choosing-in-year-of-unpleasant-choices,42.2711311,-89.0939952,,Rockford Register Star/Rockford,
211,The Sun,Lowell,Massachusetts,42000,10/22/2016,No endorsement,Mitt Romney,http://www.lowellsun.com/breakingnews/ci_30496810/editorial-why-we-cant-endorse-donald-trump-or,42.641947,-71.316812,,The Sun/Lowell,
212,The State Journal-Register,Springfield,Illinois,49046,10/22/2016,Hillary Clinton,No endorsement,http://www.sj-r.com/opinion/20161022/our-opinion-with-poor-choices-clinton-gets-nod-for-president,39.7817213,-89.6501481,,The State Journal-Register/Springfield,
213,Las Vegas Review-Journal,Las Vegas,Nevada,203736,10/22/2016,Donald Trump,Mitt Romney,Las Vegas Review-Journal/Las Vegas,36.1699412,-115.1398296,,Las Vegas Review-Journal/Las Vegas,"Mr. Trump represents neither the danger his critics claim nor the magic elixir many of his supporters crave. But he promises to be a source of disruption and discomfort to the privileged, back-scratching political elites for whom the nation’s strength and solvency have become subservient to power’s pursuit and preservation."
214,The Bulletin,Norwich,Connecticut,17801,10/22/2016,Hillary Clinton,Mitt Romney,http://www.norwichbulletin.com/opinion/20161022/our-view-clinton-has-experience-knowledge-to-lead-country,41.5242649,-72.0759105,,The Bulletin/Norwich,
215,The Bradenton Herald,Bradenton,Florida,32855,10/22/2016,No endorsement,No endorsement,http://www.bradenton.com/opinion/editorials/article109681092.html,27.4989278,-82.5748194,,The Bradenton Herald/Bradenton,
216,Tiffin Advertiser-Tribune,Tiffin,Ohio,9200,10/23/2016,Not Hillary Clinton,,http://www.advertiser-tribune.com/opinions/editorials/2016/10/eager-for-change-dont-vote-for-clinton/,41.1144992,-83.1779746,,Tiffin Advertiser-Tribune/Tiffin,
217,Lincoln Journal Star,Lincoln,Nebraska,59089,10/23/2016,Hillary Clinton,Barack Obama,http://journalstar.com/news/opinion/editorial/editorial-clinton-is-best-choice-for-president/article_ef553e76-722a-5f57-8334-b564132ba125.html,40.8257625,-96.6851982,,Lincoln Journal Star/Lincoln,
218,News & Record,Greensboro,North Carolina,170000,10/23/2016,Hillary Clinton,,http://www.greensboro.com/opinion/n_and_r_editorials/our-opinion-clinton-for-president/article_21eb0ff6-9337-5b5f-8c6c-6d90c5009505.html,36.0726354,-79.7919754,,News & Record/Greensboro,
219,Quad-City Times,Davenport,Iowa,47308,10/23/2016,Hillary Clinton,Mitt Romney,http://qctimes.com/news/opinion/editorial/presidential-endorsement-clinton-is-the-only-option-for-president/article_a96033fe-8c7b-5e69-8968-4fa3a2afbff1.html,41.5236437,-90.5776367,,Quad-City Times/Davenport,
