"id","newspaper","city","state","circulation","date","e2016","e2012","link","lat","lng","combo","blurb"
61,"The Daily Citizen","Dalton","Georgia",11377,"October 8","Hillary Clinton","","http://www.daltondailycitizen.com/opinion/editorials/hillary-clinton-is-our-choice-for-president/article_ba4ecfa2-4ffb-567e-adc3-08c28ac5e8cd.html",34.7698021,-84.9702228,"The Daily Citizen/Dalton","Cooperation between Democrats and Republicans has been missing for too many years in Washington. No one else running for president, including the candidates of the Libertarian and Green parties, has the political leadership skill or will to work cooperatively with Congress to get things done."
62,"The Commercial Appeal","Memphis","Tennessee",133788,"October 8","Hillary Clinton","No endorsement","http://www.commercialappeal.com/story/opinion/editorials/2016/10/08/our-recommendation-hillary-clinton/91610332/",35.1495343,-90.0489801,"The Commercial Appeal/Memphis","We hope Memphis area voters join with those from around the U.S. and cancel the worst reality TV show in history, The Donald Trump Show. We do not gamble with this nation's safety and security."
63,"The Daily Independent","Ashland","Kentucky",19220,"October 8","Hillary Clinton","","http://www.dailyindependent.com/opinion/in-our-view-clinton-the-only-choice-for-president/article_8d51ff7a-8cb4-11e6-9f36-9bcfa7739dd8.html",38.4784144,-82.6379387,"The Daily Independent/Ashland","The presidency is not an entry-level position. It demands a steady hand, cool head, thick skin, mental toughness, diplomatic skill, bipartisan spirit, patience, and the ability to think rigorously before acting. Hillary Clinton is that person. "
64,"Clinton Herald","Clinton","Iowa",12321,"October 8","Hillary Clinton","","http://www.clintonherald.com/opinion/why-hillary-clinton-is-best-choice-for-president/article_98e91264-3bf4-56b0-9d76-393926df10aa.html",41.839729,-90.189646,"Clinton Herald/Clinton","Donald Trump’s checkered resume as a wheeler-dealer real-estate tycoon do not qualify him to be the leader of the free world. He represents a high-risk danger to America and the values for which it stands.\nHillary Clinton’s record of public service and detailed knowledge of the complex and imposing issues the nation will confront in the next four years make her the superior choice to become the next president."
65,"The Fresno Bee","Fresno","California",128769,"October 8","Hillary Clinton","Barack Obama","http://www.fresnobee.com/opinion/editorials/article106756647.html",36.740264,-119.7957674,"The Fresno Bee/Fresno","Think of what a Trump presidency would mean to the San Joaquin Valley. If he follows through on his tough talk about deporting undocumented immigrants, there would be no one to pick the crops of the Valley’s ag-based economy. His deportation plan would rip apart many longtime, hardworking Valley families. Trump even wants to end citizenship for U.S. born children of undocumented immigrants – citizenship that is guaranteed by the 14th Amendment."
66,"Deseret News","Salt Lake City","Utah",102194,"October 8","Not Donald Trump","No endorsement","http://www.deseretnews.com/article/865664336/In-our-opinion-Donald-Trump-should-resign-his-candidacy.html",40.7607793,-111.8910474,"Deseret News/Salt Lake City","We prefer to stand for something rather than against someone. But this is one of those rare moments where it is necessary to take a clear stand against the hucksterism, misogyny, narcissism and latent despotism that infect the Trump campaign even as we hope for a more auspicious future of liberty, prosperity and peace for the nation."
67,"Enid News & Eagle","Enid","Oklahoma",19594,"October 8","Hillary Clinton","","http://www.enidnews.com/opinion/editorial-hillary-clinton-is-our-choice-for-commander-in-chief/article_c41d1c20-8cbd-11e6-9a59-f36b82784d02.html",36.3955891,-97.8783911,"Enid News & Eagle/Enid","We have policy disagreements with Clinton, but she is competent and capable of handling the incredible responsibility of being our nation’s commander in chief and leader of the free world. She has a record of public service as a senator, secretary of state and first lady. She has the temperament and experience to be president."
68,"The Olympian","Olympia","Washington",35158,"October 8","Hillary Clinton","Barack Obama","http://www.theolympian.com/opinion/editorials/article106816202.html",47.046546,-122.885183,"The Olympian/Olympia","Though Clinton has flaws, these pale next to Trump’s braggadocio, his cult of the strongman, his incessant lying and failure to take personal responsibility, and his breathtaking criticisms of minorities and women."
69,"The News Virginian","Waynesboro","Virginia",5298,"October 8","Hillary Clinton","","http://www.dailyprogress.com/newsvirginian/editorial-by-default-clinton-the-only-choice-for-president/article_2062174e-8dbb-11e6-80d8-47b000aa09d4.html",38.0684692,-78.8894682,"The News Virginian/Waynesboro","[O]ur opposition to Trump has nothing to do with the letter “R” after his name — or the letter “D,” “L” or “G” after his opponents’. Instead, it has everything to do with his total lack of fitness to serve as president."
70,"The News & Observer","Raleigh","North Carolina",144982,"October 8","Hillary Clinton","Barack Obama","http://www.newsobserver.com/opinion/editorials/article106974777.html",35.7795897,-78.6381787,"The News & Observer/Raleigh","Let’s stop pretending Donald Trump is a reasonable choice in this presidential election. He has disqualified himself by his broken contracts and his sealed taxes, his pouting and his tantrums, his midday statements and his midnight tweets."
71,"Muskogee Phoenix","Muskogee","Oklahoma",14567,"October 8","Hillary Clinton","","http://www.muskogeephoenix.com/opinion/editorially-speaking-trump-s-intolerant-remarks-disqualify-him-as-president/article_95d41fa4-8d98-11e6-9ce5-2bccfcbbeee1.html",35.7365063,-95.3271609,"Muskogee Phoenix/Muskogee","Hillary Clinton gets our support because she has devoted her life to public service. She has been Secretary of State for four years, U.S. Senator for eight years, and First Lady for eight years. Trump has no prior political or public service experience, having devoted his life to building his brand through real estate deals and his reality TV show, “The Apprentice.”"
72,"Times-Standard","Eureka","California",21623,"October 8","Hillary Clinton","","http://www.times-standard.com/opinion/20161008/its-clinton-vs-trump-and-were-with-her",40.8020712,-124.1636729,"Times-Standard/Eureka","Two candidates have a shot at the White House. One of them is the most qualified candidate to seek the presidency in decades.\nThe other is an embarrassment — to himself; to the party that has allowed him to become its standard bearer; and to our nation, at home and abroad."
73,"Niagara Gazette","Niagara Falls","New York",25225,"October 9","Hillary Clinton","","http://www.niagara-gazette.com/opinion/editorial-we-endorse-hillary-clinton-for-president/article_39778234-8ddc-11e6-8ac3-ef902f3df245.html",43.0962143,-79.0377388,"Niagara Gazette/Niagara Falls","Donald Trump is living proof that a level of maturity is not to be taken for granted even in would-be leaders of the free world. Trump does not know his place in the universe. Unlike the rest of us, he never stopped thinking he was the center of it. His view of the world is that of a child, narrow and myopic and self-absorbed. He is thin-skinned, temperamental, petulant and mean. He is a playground bully with no impulse control. And that’s not the worst of it."
74,"Kokomo Tribune","Kokomo","Indiana",21908,"October 9","Hillary Clinton","","http://www.kokomotribune.com/opinion/editorials/editorial-hillary-clinton-for-president/article_c741ef12-8d57-11e6-9771-4bc979804fd7.html",40.486427,-86.1336033,"Kokomo Tribune/Kokomo","Here, residents value generosity, humility and servanthood. We aspire to selflessness in all we do and encourage our children to follow that example.\nRepublican Donald Trump doesn’t share those values — made shockingly clear after Friday's release of his vulgar comments in a video from 2005. Democrat Hillary Clinton does."
75,"The Free Press","Mankato","Minnesota",21708,"October 9","Hillary Clinton","","http://www.mankatofreepress.com/opinion/editorials/our-view-hillary-clinton-for-president/article_e994465a-13f8-5526-bd6a-c9570b7104c2.html",44.1635775,-93.9993996,"The Free Press/Mankato","The grandmother and mother also wins on character and temperament. She is not a flawless candidate — no one with public service experience ever is — but she knows eight words that count most when she is wrong: “I made a mistake. I take full responsibility.”"
76,"The Tribune-Democrat","Johnstown","Pennsylvania",30024,"October 9","Hillary Clinton","Mitt Romney","http://www.tribdem.com/news/editorials/editorial-hillary-clinton-the-only-choice-for-president/article_aa5c6e26-8cc2-11e6-b240-87fad7b37294.html",40.3267407,-78.9219698,"The Tribune-Democrat/Johnstown","The office of president will face many crucial issues in the next term – and will make decisions and take actions that will require a steady hand and clear mind, diplomacy, tact, experience and leadership.\nTrump has shown he possesses none of those qualities."
77,"The Plain Dealer","Cleveland","Ohio",397891,"October 9","Hillary Clinton","Barack Obama","http://www.cleveland.com/opinion/index.ssf/2016/10/using_lebron_james_as_endorsem.html",41.49932,-81.6943605,"The Plain Dealer/Cleveland","In an election marked by the absurd emergence of a candidate best known for fabricating his own celebrity, we have opted to go with the spirit of this election season and use an over-the-top vehicle – our concurrence with Northeast Ohio's own international celebrity -- for announcing our choice.\nWe say, quite simply, we agree with LeBron James' choice of Hillary Clinton."
78,"Las Vegas Sun","Las Vegas","Nevada",203736,"October 9","Hillary Clinton","Barack Obama","http://m.lasvegassun.com/news/2016/oct/09/we-endorse-clinton-for-president-and-implore-voter/",36.147233,-115.188938,"Las Vegas Sun/Las Vegas","In Donald Trump, Republican voters have selected a man who by all measures is dangerously unqualified to occupy the most powerful and stressful office in the world. "
79,"The Columbus Dispatch","Columbus","Ohio",221547,"October 9","Hillary Clinton","Mitt Romney","http://www.dispatch.com/content/stories/editorials/2016/10/09/1-editorial-for-president-trump-unfit-clinton-is-qualified.html",39.926375,-83.134058,"The Columbus Dispatch/Columbus","The Dispatch traditionally has endorsed Republican presidential candidates, but Trump does not espouse or support traditional Republican values, such as fiscal prudence, limited government and free trade, not to mention civility and decency. We are disappointed that so many Republican leaders have accommodated a narcissistic, morally bankrupt candidate who is so clearly out of step with those values."
80,"The Day","New London","Connecticut",46365,"October 9","Hillary Clinton","Barack Obama","http://www.theday.com/editorials/20161009/hillary-clinton-is-candidate-ready-to-lead",41.35516,-72.094832,"The Day/New London","Americans must reject promises that industrial jobs can suddenly be restored by renegotiating trade deals, a tactic that instead invites economically damaging trade wars. They must reject a huckster who says he can quickly dispatch of our enemies with a secret plan. They must reject the un-American notions of rounding up millions of people for mass deportation or banning, because of irrational fears, members of a specific religious group from entering our country.  They must reject a candidate who ignores the scientific evidence of man-made climate change and who would roll back hard-won reproductive rights for women."
81,"The Hawk Eye","Burlington","Iowa",15399,"October 9","Hillary Clinton","Barack Obama","http://www.thehawkeye.com/opinion/editorials/our-endorsement---hillary-clinton/article_3c0adc84-4ca3-58f9-9409-ba1f4c0e4901.html",40.8113667,-91.1098193,"The Hawk Eye/Burlington","Hillary Clinton should be — and we believe will be — the next president of the United States. It will be as historic an election — the first woman to be elected president — as it was in 2008 when Barack Obama became the first black American to win the presidency."
82,"The Northwest Arkansas Democrat Gazette","Fayetteville","Arkansas",17807,"October 9","No endorsement","","http://m.nwaonline.com/news/2016/oct/09/not-for-hillary-20161009/",36.0625795,-94.1574263,"The Northwest Arkansas Democrat Gazette/Fayetteville","Maybe it'd be easier to list the things she hasn't promised to spend more money on. After all, she's had to promise so much to so many in order to keep up with her primary opponent that it's easy to find speeches in which she's promised the moon."
83,"Arkansas Democrat-Gazette","Little Rock","Arkansas",179134,"October 9","No endorsement","Mitt Romney","http://www.arkansasonline.com/news/2016/oct/09/not-for-the-donald-20161009/?f=opinion",34.743668,-92.270122,"Arkansas Democrat-Gazette/Little Rock",""
84,"McAlester News-Capital","McAlester","Oklahoma",9000,"October 9","Hillary Clinton","","http://www.mcalesternews.com/news/local_news/mn-c-endorses-hillary-clinton/article_004cccef-ee50-52b0-aaa3-2c28f333d5a8.html/",34.9334298,-95.7697131,"McAlester News-Capital/McAlester","As America struggles with political and racial division, the president of this country needs to have a calm, reasoned approach and be a unifier — not a divider. Trump’s comments and positions on immigration are inflammatory and insulting to a huge swath of Americans. His derogatory comments about women are beyond troublesome. The list of his startling and frightful statements — and policy positions — overwhelmingly show he is not qualified for the office."
85,"Commercial-News","Danville","Illinois",19885,"October 9","Hillary Clinton","","http://www.commercial-news.com/opinion/clinton-the-obvious-choice-for-president/article_7a711c36-fb52-5e31-91bb-c7b3159d5582.html/",40.124481,-87.6300207,"Commercial-News/Danville","Policy proposals, experience and temperament should be the basis for evaluating presidential candidates, not campaign commercials or social media. With those criteria in mind, we endorse Hillary Clinton to be the next president of the United States."
86,"The Sun News","Myrtle Beach","South Carolina",40944,"October 9","Hillary Clinton","Barack Obama","http://www.myrtlebeachonline.com/opinion/editorials/article106432047.html",33.6890603,-78.8866943,"The Sun News/Myrtle Beach","Truth. Transparency. Humility. Temperament. In all these character traits, Trump is far more lacking than Clinton."
87,"The Daily News of Newburyport","Newburyport","Massachusetts",13605,"October 9","Hillary Clinton","","http://www.newburyportnews.com/opinion/editorials/our-view-hillary-clinton-is-the-clear-choice-for-president/article_52c7f0e8-0cc1-50ac-9a2d-c50fd8d1021e.html",42.8125913,-70.8772751,"The Daily News of Newburyport/Newburyport","Hillary Clinton has served as first lady, U.S. senator and secretary of state. Donald Trump is a lifetime wheeler-dealer who has never served anyone but himself. Now he has become a demagogue, playing on fear and anger, with no clear plan to “make America great again.”"
88,"The Birmingham News","Birmingham","Alabama",176087,"October 9","Hillary Clinton","No endorsement","http://www.al.com/opinion/index.ssf/2016/10/endorsement_hillary_clinton.html",33.5206608,-86.80249,"The Birmingham News/Birmingham","Any endorsement of Clinton will be a bitter pill to swallow for many in our state. For some, her lifelong record of public service is the mark of a career politician, rather than a public servant. We've all watched her struggle to defend her emails, her charitable foundation and her record on foreign policy. Still, Hillary Clinton is more than qualified to be president, and in winning her party's nomination has reinforced the promise that our democratic process is equally open to all."
89,"Press-Register","Mobile","Alabama",103373,"October 9","Hillary Clinton","No endorsement","http://www.al.com/opinion/index.ssf/2016/10/endorsement_hillary_clinton.html",30.6953657,-88.0398912,"Press-Register/Mobile","Donald Trump must not be president."
90,"The Huntsville Times","Huntsville","Alabama",67286,"October 9","Hillary Clinton","No endorsement","http://www.itemonline.com/opinion/editorials/guest-editorial-only-choice-for-president-is-clinton/article_c8b165c5-ee31-5134-8aa6-e7336410dd9f.html",34.7330408,-86.585251,"The Huntsville Times/Huntsville","Trump shows little understanding of the complexities of domestic and international challenges. His thin skin, impulsiveness and temperament make him a high risk in tense situations. He offers no ideas on how to address increasing racial unrest in urban cities. He cavalierly promises to destroy ISIS with military power and illegal torture."
91,"The Eagle-Tribune","North Andover","Massachusetts",36720,"October 9","Hillary Clinton","Mitt Romney","http://www.eagletribune.com/opinion/our-view-hillary-clinton-is-the-clear-choice-for-president/article_89a65efc-1094-5359-adaa-cae82f5fce17.html",42.6987024,-71.1350575,"The Eagle-Tribune/North Andover","We believe Trump jumped into the race to burnish his brand and sell more reality shows, steaks, neckties and bogus college degrees. He surprised even himself by winning the GOP nomination, helped by the arrogance and incompetence of the Republican establishment. His showmanship and bluster made him the winner in a farcical ""Survivor"" show primary process."
92,"The Record","Stockton","California",71086,"October 9","Hillary Clinton","Barack Obama","http://www.recordnet.com/opinion/20161008/record-endorsements-president-clinton-best-for-country",37.9577016,-121.2907796,"The Record/Stockton","This country is too great to elect such a non-qualified person as Trump as its president. Hillary Clinton is the only choice."
93,"The Valdosta Daily Times","Valdosta","Georgia",18433,"October 9","Hillary Clinton","","http://www.valdostadailytimes.com/opinion/editorials/we-choose-clinton/article_37621008-a616-5cee-9288-aa6bae163ffe.html",30.8327022,-83.2784851,"The Valdosta Daily Times/Valdosta","Her record of public service, her knowledge of complex world issues facing our nation, her steady hand and her measured leadership make her the only choice to become our nation’s next president."
94,"Press-Republican","Plattsburgh","New York",14132,"October 9","Hillary Clinton","No endorsement","http://www.pressrepublican.com/opinion/editorial-why-we-support-clinton-for-president/article_076908b4-9bc8-5c45-9240-f94f1b62aee5.html",44.6994873,-73.4529124,"Press-Republican/Plattsburgh","It has been at least 40 years since the Press-Republican has endorsed a presidential candidate.\nBut the circumstances are so unusual and the stakes are so high in this year’s election, we are breaking with that tradition and supporting Democrat Hillary Clinton for president."
95,"Cumberland Times-News","Cumberland","Maryland",30233,"October 9","Hillary Clinton","","http://www.times-news.com/opinion/editorials/cumberland-times-news-why-we-have-decided-to-endorse-hillary/article_ddd2a2f0-1f67-5d4b-a21b-a50660e198c9.html",39.6528654,-78.7625185,"Cumberland Times-News/Cumberland","Engaging in domestic politics and government, and practicing international diplomacy, require an ability to compromise that Trump has never demonstrated. Clinton has been doing this for years, first as a U.S. senator and then as secretary of state. She has had to remain at least outwardly calm while dealing with personalities and situations that would send Trump into orbit faster than a Saturn 5 rocket."
96,"Grand Junction Daily Sentinel","Grand Junction","Colorado",26895,"October 9","Not Donald Trump","Mitt Romney","http://www.gjsentinel.com/opinion/articles/step-aside-donald",39.0638705,-108.5506486,"Grand Junction Daily Sentinel/Grand Junction","The evidence that Trump is unqualified or unfit for the presidency has been there all along. This is just the exclamation point that could convince moderate Republicans to break with their own tradition of voting for the GOP."
97,"Courier News","Somerville","New Jersey",11943,"October 9","Hillary Clinton","","http://www.mycentraljersey.com/story/opinion/editorials/2016/10/09/gop-must-force-trump-drop/91817416/",40.5742696,-74.60988,"Courier News/Somerville","Trump is a disgrace to the nation. He should abandon the race now — for the good of the nation and the good of the Republican Party. If he refuses, as he has so far insisted he will do, every Republican leader and every Republican candidate on the ballot next month should condemn him and publicly urge him to terminate his campaign."
98,"Marin Independent Journal","San Rafael","California",27203,"October 9","Hillary Clinton","Barack Obama","http://www.marinij.com/article/NO/20161008/LOCAL1/161009828",37.9735346,-122.5310874,"Marin Independent Journal/San Rafael","We did not endorse Trump in the June primary because we did not think he had the temperament to lead our nation or be the leader of the free world. He hasn’t changed our minds."
99,"Gloucester Daily Times","Gloucester","Massachusetts",10334,"October 9","Hillary Clinton","","http://www.gloucestertimes.com/opinion/editorials/our-view-hillary-clinton-is-the-clear-choice-for-president/article_2934f0c8-9ff6-5175-8ce5-959114892771.html",42.6159285,-70.6619888,"Gloucester Daily Times/Gloucester","Where Trump is shallow and ignorant, Clinton is worldly, knowledgeable and skilled in the art of real politics, both domestic and foreign."
100,"The Salem News","Salem","Massachusetts",20330,"October 9","Hillary Clinton","","http://www.salemnews.com/opinion/editorials/our-view-hillary-clinton-is-the-clear-choice-for-president/article_3a8425a0-da04-58b0-98ba-8e836db0e226.html",42.51954,-70.8967155,"The Salem News/Salem","Say what you will about Clinton, but she is tough, pragmatic, resilient and experienced. And unlike her opponent, Republican Donald Trump, she is not an embarrassing fool. You won’t find her tweeting at 3 a.m., four weeks before Election Day, about a former Miss Universe and her alleged sex tape."
101,"Asbury Park Press","Asbury Park","New Jersey",109060,"October 9","Hillary Clinton","Barack Obama","http://www.app.com/story/opinion/editorials/2016/10/08/donald-trump-video-resign/91813602/",40.2203907,-74.0120817,"Asbury Park Press/Asbury Park","Trump is a disgrace to the nation. He should abandon the race now — for the good of the country and the good of the Republican Party. If he refuses, as he has so far insisted he will do, every Republican leader and every Republican candidate on the ballot next month should condemn him and publicly urge him to terminate his campaign."
102,"Daily Record","Morristown","New Jersey",14952,"October 9","Hillary Clinton","","http://www.dailyrecord.com/story/opinion/editorials/2016/10/09/gop-must-force-trump-drop/91817424/",40.7967667,-74.4815438,"Daily Record/Morristown","Over the course of the primary and Republican campaign, it became increasingly clear that Trump was totally unfit for the presidency. He has none of the qualities needed to lead what remains the greatest nation on earth — despite his claims to the contrary. He is arrogant, bigoted, impulsive and crude. He doesn’t read, he doesn’t study up on policy, he is reckless with his words and loose with what he passes off as facts."
103,"The Woodward News","Woodward","Oklahoma",4908,"October 9","Hillary Clinton","","http://www.woodwardnews.net/opinion/guest-editorial-clinton-s-the-choice/article_a12eb6f0-8e44-11e6-bb94-2f245585d1e0.html",36.4336481,-99.3903862,"The Woodward News/Woodward","For our newspaper — a historically conservative voice in a conservative, Republican region of arguably the reddest state in the union — endorsing a Democrat for president is truly an exception."
104,"The Register-Herald","Beckley","West Virginia",28670,"October 9","Hillary Clinton","","http://www.register-herald.com/opinion/editorials/trump-video-is-the-final-straw-we-are-with-her/article_1f4de628-b921-5fce-ba14-4f9bbbd256c2.html",37.786654,-81.187553,"The Register-Herald/Beckley","The audio represents an extraordinary level of vulgarity never known to a presidential contest in the U.S. and speaks to his ignorance about what constitutes sexual assault."
105,"The Huntsville Item","Huntsville","Texas",5506,"October 9","Hillary Clinton","","http://www.itemonline.com/opinion/editorials/guest-editorial-only-choice-for-president-is-clinton/article_c8b165c5-ee31-5134-8aa6-e7336410dd9f.html",30.7235263,-95.5507771,"The Huntsville Item/Huntsville","Hillary Clinton, for all her faults, understands the need for political parties to come together at times for the sake of constructing legislation that serve the people. Her ability to react rationally during a national security crisis stands far above Trump’s."
106,"News and Tribune","Jeffersonville","Indiana",6052,"October 9","Hillary Clinton","","http://www.newsandtribune.com/indiana/opinion/editorial-hillary-clinton-for-president/article_e82f369e-31b7-5546-9606-facb3916b226.html",38.270993,-85.740131,"News and Tribune/Jeffersonville","We endorse Hillary Clinton’s candidacy because she possesses the knowledge and experience to be an effective president. Even when her behavior is benign, her bunker mentality and secretiveness make it look as though she has something to hide — true or not. She, however, has acknowledged these mistakes."
107,"Greensburg Daily News","Greensburg","Indiana",5444,"October 9","Hillary Clinton","","http://www.greensburgdailynews.com/indiana/opinion/editorial-hillary-clinton-for-president/article_9cdfad9a-fcdc-5b9b-8e90-72f5fabc9277.html",39.3372722,-85.483581,"Greensburg Daily News/Greensburg","The presidency demands an even temper, curiosity, patience, diplomatic skills and self-restraint. The man or woman elected to that office truly is the leader of the free world. Hillary Clinton has exhibited such traits as first lady, U.S. senator and secretary of state."
108,"The Daily Item","Sunbury","Pennsylvania",26165,"October 9","Hillary Clinton","Barack Obama","http://www.dailyitem.com/opinion/sunday-s-editorial-clinton-the-only-viable-choice/article_19024e88-8edd-11e6-868f-6ffea5c908f5.html",40.862585,-76.7944104,"The Daily Item/Sunbury","Trump’s myriad issues aside, Hillary Clinton’s record of public service and knowledge of the colossal issues the nation will confront in the next four years make her the obvious choice on Nov. 8."
109,"The Norman Transcript","Norman","Oklahoma",15785,"October 9","Hillary Clinton","","http://www.normantranscript.com/opinion/editorials/transcript-endorses-hillary-clinton/article_1d908662-d45b-5248-9dfd-82c16b806f1f.html",35.2225668,-97.4394777,"The Norman Transcript/Norman","The fact is the world is moving forward, regardless of how much Trump wants to push us back to the 1950s. Americans need a president who is willing and able to take on the challenges of a modern world, enormous challenges that require more than bluster and rhetoric, which appears to be all Trump has to offer."
110,"Times West Virginian","Fairmont","West Virginia",11506,"October 9","Hillary Clinton","","http://www.timeswv.com/opinion/editorial-hillary-clinton-best-suited-to-be-president/article_de713346-8de8-11e6-8e42-3b7baec50b75.html",39.4850848,-80.1425781,"Times West Virginian/Fairmont","We do not have confidence Trump has the capacity to remake himself. He has shown many unacceptable attitudes during his initial run for political office, including blatant bigotry, racism, discrimination, disregard for the U.S. Constitution and contempt for anyone who has a different point of view than his. He has made threats against his opponents, incited crowds to attack those who dare to question his platform and has repeatedly sued news organizations for fact-based reporting."
111,"Naples Daily News","Naples","Florida",59079,"October 9","No endorsement","Mitt Romney","http://www.naplesnews.com/story/opinion/editorials/2016/10/09/editorial-month-until-nov-8-endorsements-begin/91731252/",26.1420358,-81.7948103,"Naples Daily News/Naples","A week ago, USA TODAY’s editorial board took a stand for the first time in the publication’s 34 years by recommending voters choose anyone but Trump. We decided not to publish that editorial because it takes a side, which we’d already decided we aren’t going to do."
112,"Tribune-Star","Terre Haute","Indiana",27895,"October 10","Hillary Clinton","","http://www.tribstar.com/opinion/editorials/editorial-for-presidency-clinton-the-clear-choice/article_2535edec-699b-5fd8-aa71-56b0656d7594.html",39.4667034,-87.4139092,"Tribune-Star/Terre Haute","Hillary Clinton is clearly the better choice to serve as America’s 45th president in a complex world. Her skill set and experience match the deep and broad demands of that difficult office. Trump, through his immature actions and statements, has conclusively proven that he represents a threat to the republic and the values upon which its foundation was built."
113,"The Joplin Globe","Joplin","Missouri",30558,"October 10","Hillary Clinton","Mitt Romney","http://www.joplinglobe.com/opinion/columns/our-view-a-nation-at-risk/article_66322361-5c0a-5933-891f-54e443e46d35.html",37.0842271,-94.513281,"The Joplin Globe/Joplin","When it comes to the future security of America — the most important issue of our time — Clinton is the candidate who makes the most sense."
114,"The Record","Hackensack","New Jersey",175452,"October 10","Hillary Clinton","Barack Obama","http://www.northjersey.com/news/the-record-endorsement-vote-for-clinton-a-fighter-qualified-for-the-presidency-1.1674909",40.8859325,-74.0434736,"The Record/Hackensack","The president cannot go on a 3 a.m. Twitter tirade against someone who offended him. The president cannot mock Americans or diminish their worth. The president cannot state that years of negotiated treaties with U.S. allies will be thrown out on a whim. The president cannot think sexual assault is a joke."
115,"Bristol Herald Courier","Bristol","Virginia",26166,"October 10","No endorsement","","http://www.heraldcourier.com/townnews/politics/bristol-herald-courier-can-t-stomach-trump-or-clinton-for/article_6ddf259c-8f01-11e6-91c2-cf0174fa32da.html",36.595141,-82.1888089,"Bristol Herald Courier/Bristol","Is this what our democracy has come to? The choice between an ineffective presidency or a destructive one? Ultimately, the result is the same -- a diminished, weaker United States."
116,"The Times Record","Brunswick","Maine",9600,"October 10","Hillary Clinton","","http://www.timesrecord.com/news/2016-10-10/Opinion/The_Times_Record_Endorses_Hillary_Clinton.html",43.906143,-69.99922,"The Times Record/Brunswick","Donald J. Trump is a hateful buffoon who has spent a lifetime elevating himself above others — often at their expense. His weapons of choice are braggadocio and rumor, coupled with a total and overt lack of humility and common decency."
117,"Santa Cruz Sentinel","Scotts Valley","California",24000,"October 11","Hillary Clinton","Barack Obama","http://www.santacruzsentinel.com/article/NE/20161010/LOCAL1/161019967",37.0510595,-122.0146841,"Santa Cruz Sentinel/Scotts Valley","With a fact-addled demagogue like Trump running — how can so-called religious leaders on the right still be standing by him? — the option of turning over the world’s future security to this reality-TV bromancer of Vladimir Putin is beyond comprehension."
118,"The Goshen News","Goshen","Indiana",15537,"October 11","Hillary Clinton","","http://www.goshennews.com/indiana/opinion/our-opinion-hillary-clinton-best-choice-for-president/article_c5d8bc56-f859-5914-a700-a5a45de7b34f.html",41.5822716,-85.8344383,"The Goshen News/Goshen","The ease [with] which Trump dismissed as male banter his words about assaulting women perpetuates a culture of silence when little girls are molested and women raped."
119,"York Daily Record","York","Pennsylvania",71315,"October 11","Not Donald Trump","Barack Obama","http://www.ydr.com/story/opinion/editorials/2016/10/11/ydr-editorial-board-dont-vote-trump-editorial/91889476/",39.9625984,-76.727745,"York Daily Record/York","In the end, it’s hard to believe these are the best candidates the two major parties can field. Mr. Trump is right about one thing. We really do need to make America great again. And we need to start at the grassroots – by raising up better candidates and leaders."
120,"The Bernardsville News","Bernardsville","New Jersey",4891,"October 11","Hillary Clinton","Barack Obama","http://www.newjerseyhills.com/bernardsville_news/opinion/editorial/editorial-vote-for-hillary-clinton-on-tuesday-nov/article_6442156e-bf6c-55ac-9e5a-a4b944264899.html",40.7187119,-74.569324,"The Bernardsville News/Bernardsville","Rarely has a presidential choice been more clear; she, as a former First Lady, former U.S. Senator, former Secretary of State, is hands-down the most qualified candidate to run for president of the United States in decades and we are proud to endorse her."
121,"Telegraph Herald","Dubuque","Iowa",34015,"October 11","Not Donald Trump","No endorsement","http://www.telegraphherald.com/news/opinion/article_080375cd-ded6-5c16-941e-c5757a82a174.html",42.5005583,-90.6645718,"Telegraph Herald/Dubuque","On college campuses every day, there are conversations going on about what constitutes consent and the appropriate approach to a physical relationship. Yet Donald Trump talked about behaviors clearly in the category of sexual assault — and, worse, he doesn’t even seem to realize that."
122,"Mineral Wells Index","Mineral Wells","Texas",3119,"October 12","Hillary Clinton","","http://www.mineralwellsindex.com/opinion/opinion-clinton-the-only-choice-for-president/article_e0cdef4e-8f32-11e6-b89a-2f9cf2784e29.html",32.8084605,-98.1128223,"Mineral Wells Index/Mineral Wells","Trump is an unfathomable enigma. His self-assertive and boastful style attracts many potential voters because he speaks freely on any topic. The worrisome parts of his candidness are a tendency to insult ethnic and religious groups, his callous comments about women, and his endless contradictions on issues."
123,"Ada Evening News","Ada","Oklahoma",7871,"October 12","Hillary Clinton","","http://www.theadanews.com/news/editorial-ada-news-endorses-hillary-clinton/article_b6275b0e-8feb-11e6-b177-1bde85ba2c69.html",34.774531,-96.6783449,"Ada Evening News/Ada","Simply put, Clinton is the one candidate who presents the opportunity for steady, reliable leadership abroad and here at home. Trump’s policies, meanwhile, represent a dark, dangerous direction for the nation if implemented."
124,"The Salt Lake Tribune","Salt Lake City","Utah",133025,"October 12","Hillary Clinton","Barack Obama","http://www.sltrib.com/opinion/4455498-155/editorial-in-the-end-hillary-clinton",40.7607793,-111.8910474,"The Salt Lake Tribune/Salt Lake City","Clinton's devotion to making the world a better place for the less fortunate, especially children, has been the core of her whole career. She sees the threats of terror abroad, gun violence at home and climate change globally and has plans to address all of that, and more."
